LAT,LON,ALT,Temp,Press,AltGPS,AltBar,SpdGps
49.7161519,14.0950379,443.389,15.44,96144.75,443.39,440.43,0.00
49.7161716,14.0950599,443.605,15.44,96144.75,443.61,440.43,0.00
49.7162125,14.0950742,445.304,15.44,96140.75,445.30,440.78,0.00
49.7162125,14.0950742,445.304,15.44,96140.75,445.30,440.78,0.00
49.7162411,14.0951023,445.08,15.44,96142.50,445.08,440.63,0.00
49.7162411,14.0951023,445.08,15.44,96142.50,445.08,440.63,0.00
49.7162614,14.0951354,445.869,15.44,96142.75,445.87,440.61,0.00
49.7162614,14.0951354,445.869,15.44,96142.75,445.87,440.61,0.00
49.7162763,14.095203,445.337,15.44,96142.00,445.34,440.67,0.00
49.7162763,14.095203,445.337,15.44,96142.00,445.34,440.67,0.00
49.7163077,14.0952334,445.623,15.50,96142.50,445.62,440.63,0.00
49.7163077,14.0952334,445.623,15.50,96142.50,445.62,440.63,0.00
49.7163388,14.0952572,445.896,15.50,96144.25,445.90,440.48,0.00
49.7163388,14.0952572,445.896,15.50,96144.25,445.90,440.48,0.00
49.7163815,14.0952683,447.509,15.50,96140.50,447.51,440.80,0.00
49.7163815,14.0952683,447.509,15.50,96140.50,447.51,440.80,0.00
49.7163939,14.0953069,448.321,15.50,96140.00,448.32,440.85,0.00
49.7163939,14.0953069,448.321,15.50,96140.00,448.32,440.85,0.00
49.7164261,14.095348,448.263,15.50,96136.00,448.26,441.19,0.00
49.7164633,14.095395,447.815,15.50,96142.25,447.81,440.65,0.00
49.7164633,14.095395,447.815,15.50,96142.25,447.81,440.65,0.00
49.7164938,14.0954262,448.255,15.50,96138.75,448.25,440.96,0.00
49.7164938,14.0954262,448.255,15.50,96138.75,448.25,440.96,0.00
49.7165199,14.0954693,448.625,15.50,96140.00,448.62,440.85,0.00
49.7165199,14.0954693,448.625,15.50,96140.00,448.62,440.85,0.00
49.7165173,14.0955334,445.036,15.50,96140.50,445.04,440.80,0.00
49.7165173,14.0955334,445.036,15.50,96140.50,445.04,440.80,0.00
49.7165459,14.0955856,445.191,15.56,96144.50,445.19,440.46,0.00
49.7165459,14.0955856,445.191,15.56,96144.50,445.19,440.46,0.00
49.7165629,14.0956302,445.328,15.56,96144.75,445.33,440.43,0.00
49.7165629,14.0956302,445.328,15.56,96144.75,445.33,440.43,0.00
49.7165966,14.0956998,447.277,15.56,96144.00,447.28,440.50,0.00
49.7165966,14.0956998,447.277,15.56,96144.00,447.28,440.50,0.00
49.7166368,14.0957458,447.286,15.56,96144.50,447.29,440.46,0.00
49.7166368,14.0957458,447.286,15.56,96144.50,447.29,440.46,0.00
49.7166686,14.0957765,447.434,15.56,96144.75,447.43,440.43,0.00
49.7167201,14.0958011,447.998,15.56,96144.25,448.00,440.48,0.00
49.7167201,14.0958011,447.998,15.56,96144.25,448.00,440.48,0.00
49.7167674,14.0958365,448.089,15.56,96142.25,448.09,440.65,0.00
49.7167674,14.0958365,448.089,15.56,96142.25,448.09,440.65,0.00
49.7168124,14.0958752,448.3,15.56,96146.00,448.30,440.33,0.00
49.7168124,14.0958752,448.3,15.56,96146.00,448.30,440.33,0.00
49.716849,14.095922,447.952,15.56,96144.25,447.95,440.48,0.00
49.716849,14.095922,447.952,15.56,96144.25,447.95,440.48,0.00
49.7168846,14.0959587,447.915,15.56,96144.50,447.92,440.46,0.00
49.7168846,14.0959587,447.915,15.56,96144.50,447.92,440.46,0.00
49.7169253,14.0959921,447.721,15.56,96142.50,447.72,440.63,0.00
49.7169253,14.0959921,447.721,15.56,96142.50,447.72,440.63,0.00
49.7170057,14.0959898,449.164,15.62,96142.25,449.16,440.65,0.00
49.7170057,14.0959898,449.164,15.62,96142.25,449.16,440.65,0.00
49.7170453,14.0960152,449.085,15.62,96142.50,449.08,440.63,0.00
49.7170794,14.0960442,449.052,15.62,96142.50,449.05,440.63,0.00
49.7170794,14.0960442,449.052,15.62,96140.25,449.05,440.83,0.00
49.7171366,14.0960093,449.661,15.62,96142.00,449.66,440.67,0.00
49.7171366,14.0960093,449.661,15.62,96138.00,449.66,441.02,0.00
49.7171765,14.0960228,449.622,15.62,96142.25,449.62,440.65,0.00
49.7171765,14.0960228,449.622,15.62,96142.25,449.62,440.65,0.00
49.7172201,14.0960314,449.581,15.62,96140.25,449.58,440.83,0.00
49.7172201,14.0960314,449.581,15.62,96140.25,449.58,440.83,0.00
49.7172475,14.0959888,448.565,15.62,96138.75,448.56,440.96,0.00
49.7172475,14.0959888,448.565,15.62,96138.75,448.56,440.96,0.00
49.717289,14.0959838,448.523,15.62,96138.00,448.52,441.02,0.00
49.717289,14.0959838,448.523,15.62,96138.00,448.52,441.02,0.00
49.7173205,14.0959903,448.508,15.69,96140.75,448.51,440.78,0.00
49.7173205,14.0959903,448.508,15.69,96140.75,448.51,440.78,0.00
49.7173661,14.0959654,449.461,15.69,96138.25,449.46,441.00,0.00
49.7174072,14.0959543,449.419,15.69,96138.25,449.42,441.00,0.00
49.7174072,14.0959543,449.419,15.69,96136.25,449.42,441.17,0.00
49.717446,14.0959448,449.396,15.69,96136.25,449.40,441.17,0.00
49.717446,14.0959448,449.396,15.69,96140.50,449.40,440.80,0.00
49.7174891,14.0959218,452.684,15.69,96140.50,452.68,440.80,0.00
49.7174891,14.0959218,452.684,15.69,96136.50,452.68,441.15,0.00
49.717526,14.0959063,452.693,15.69,96136.50,452.69,441.15,0.00
49.717526,14.0959063,452.693,15.69,96136.50,452.69,441.15,0.00
49.7175629,14.0958908,452.702,15.69,96134.50,452.70,441.32,0.00
49.7175629,14.0958908,452.702,15.69,96134.50,452.70,441.32,0.00
49.7175902,14.0957936,455.293,15.69,96138.00,455.29,441.02,0.00
49.7175902,14.0957936,455.293,15.69,96138.00,455.29,441.02,0.00
49.7176258,14.0957718,455.326,15.69,96134.50,455.33,441.32,0.00
49.7176258,14.0957718,455.326,15.69,96134.50,455.33,441.32,0.00
49.7176613,14.09575,455.359,15.69,96138.50,455.36,440.98,0.00
49.7176613,14.09575,455.359,15.69,96138.50,455.36,440.98,0.00
49.717685,14.0957172,456.757,15.69,96132.00,456.76,441.54,0.00
49.7177197,14.0956912,456.796,15.69,96132.00,456.80,441.54,0.00
49.7177197,14.0956912,456.796,15.69,96136.50,456.80,441.15,0.00
49.7177496,14.0956699,456.859,15.69,96136.50,456.86,441.15,0.00
49.7177496,14.0956699,456.859,15.75,96136.75,456.86,441.13,0.00
49.7177774,14.0956055,457.456,15.75,96136.75,457.46,441.13,0.00
49.7177774,14.0956055,457.456,15.75,96132.50,457.46,441.50,0.00
49.7178099,14.0955831,457.494,15.75,96132.50,457.49,441.50,0.00
49.7178099,14.0955831,457.494,15.75,96128.50,457.49,441.85,0.00
49.7178435,14.0955595,457.539,15.75,96132.25,457.54,441.52,0.00
49.7178435,14.0955595,457.539,15.75,96132.25,457.54,441.52,0.00
49.7178717,14.0955187,456.207,15.75,96132.00,456.21,441.54,0.00
49.7178717,14.0955187,456.207,15.75,96132.00,456.21,441.54,0.00
49.7179074,14.0955014,456.241,15.75,96132.25,456.24,441.52,0.00
